Task_3.py :-

$jupyter nbconvert --to script Task_3.ipynb
$python -m cProfile Task_3.py
         2986275 function calls (2952765 primitive calls) in 48.169 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1552    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
     1400    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
      918    0.002    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
      776    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:401(_check_name_wrapper)
      776    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      776    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
     2328    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      776    0.002    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     6566    0.004    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      918    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     6566    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1552    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      776    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    776/9    0.002    0.000    2.469    0.274 <frozen importlib._bootstrap_external>:722(exec_module)
     3424    0.002    0.000    0.181    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      776    0.007    0.000    0.528    0.001 <frozen importlib._bootstrap_external>:793(get_code)
     1248    0.001    0.000    0.083    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      776    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      776    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
