Task_1.py :-
$ jupyter nbconvert --to script Task_1.ipynb
$ python -m cProfile Task_1.py

         349587642 function calls (349577830 primitive calls) in 262.126 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2419    0.005    0.000    0.464    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      468    0.021    0.000    4.858    0.010 <frozen importlib._bootstrap_external>:793(get_code)
      741    0.004    0.000    0.178    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      468    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      468    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      468    1.107    0.002    4.523    0.010 <frozen importlib._bootstrap_external>:914(get_data)
      675    0.002    0.000    0.168    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      468    0.002    0.000    0.078    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       66    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        8    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.002    0.002 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        8    0.000    0.000    0.008    0.001 ElementTree.py:1187(parse)
       27    0.000    0.000    0.002    0.000 ElementTree.py:1201(iterparse)
 20469148    4.233    0.000  137.016    0.000 ElementTree.py:1219(iterator)
       27    0.000    0.000    0.000    0.000 ElementTree.py:1235(IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
       27    0.000    0.000    0.000    0.000 ElementTree.py:1251(__init__)
    25234    0.044    0.000  111.765    0.004 ElementTree.py:1263(feed)
       26    0.000    0.000    0.001    0.000 ElementTree.py:1273(_close_and_return_root)
 20494407    9.300    0.000   13.433    0.000 ElementTree.py:1287(read_events)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
       35    0.001    0.000    0.001    0.000 ElementTree.py:1448(__init__)
       27    0.000    0.000    0.000    0.000 ElementTree.py:1494(_setevents)
 20469121    9.082    0.000   26.889    0.000 ElementTree.py:1512(handler)
 62195707   10.717    0.000   10.717    0.000 ElementTree.py:1533(_fixname)
 20469516   28.855    0.000   50.224    0.000 ElementTree.py:1544(_start)
 20469516   10.461    0.000   16.154    0.000 ElementTree.py:1556(_end)
       68    0.000    0.000    0.000    0.000 ElementTree.py:1559(_default)
    25242    0.058    0.000  111.728    0.004 ElementTree.py:1627(feed)
       34    0.001    0.000    0.001    0.000 ElementTree.py:1634(close)
        1    0.000    0.000    0.001    0.001 ElementTree.py:34(<module>)
        1    0.000    0.000    0.003    0.003 ElementTree.py:36(_get_py3_cls)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        8    0.000    0.000    0.000    0.000 ElementTree.py:554(__init__)
        8    0.000    0.000    0.008    0.001 ElementTree.py:574(parse)
        6    0.000    0.000    0.000    0.000 ElementTree.py:611(iter)
        6    0.000    0.000    0.000    0.000 ElementTree.py:624(getiterator)
        2    0.000    0.000    0.000    0.000 ElementTree.py:677(findall)
        1    0.000    0.000    0.000    0.000 ElementTree.py:68(DefusedXMLParser)
       35    0.000    0.000    0.001    0.000 ElementTree.py:69(__init__)
        1    0.000    0.000    0.003    0.003 ElementTree.py:7(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:2557(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2566(ImageTransformHandler)
        1    0.000    0.000    0.115    0.115 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3258(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3294(Exif)
        1    0.000    0.000    0.000    0.000 Image.py:462(_E)
        1    0.000    0.000    0.000    0.000 Image.py:503(Image)
        1    0.000    0.000    0.000    0.000 Image.py:91(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:95(DecompressionBombError)
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.060    0.060  262.127  262.127 Task_1.py:7(<module>)
        1    0.002    0.002  254.575  254.575 Task_1.py:9(main)
        1    0.000    0.000    0.001    0.001 TiffTags.py:20(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
      105    0.000    0.000    0.001    0.000 TiffTags.py:26(__new__)
        1    0.000    0.000    0.001    0.001 TiffTags.py:361(_populate)
        1    0.000    0.000    0.001    0.001 __config__.py:3(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
        1    0.000    0.000    0.000    0.000 __future__.py:80(_Feature)
       10    0.000    0.000    0.000    0.000 __future__.py:81(__init__)
       35    0.002    0.000    6.062    0.173 __init__.py:1(<module>)
        1    0.000    0.000    0.074    0.074 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:10(PerformanceWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:104(CallbackRegistry)
        1    0.000    0.000    0.000    0.000 __init__.py:105(EmptyDataError)
        1    0.001    0.001    1.669    1.669 __init__.py:106(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:1065(FileHandler)
        6    0.000    0.000    0.000    0.000 __init__.py:1073(_comp_method_SERIES)
        9    0.000    0.000    0.385    0.043 __init__.py:109(import_module)
        1    0.000    0.000    0.000    0.000 __init__.py:11(DeprecatedTzFormatWarning)
      594    0.002    0.000    1.079    0.002 __init__.py:1105(<genexpr>)
      593    0.007    0.000    1.077    0.002 __init__.py:111(resource_exists)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        2    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:1198(is_interactive)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
       14    0.000    0.000    0.001    0.000 __init__.py:1216(getLogger)
        2    0.000    0.000    0.000    0.000 __init__.py:122(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:1239(<dictcomp>)
       12    0.000    0.000    0.000    0.000 __init__.py:1245(_bool_method_SERIES)
       14    0.000    0.000    0.000    0.000 __init__.py:1267(_fixupParents)
       19    0.000    0.000    0.001    0.000 __init__.py:1281(_to_unmasked_float_array)
        1    0.000    0.000    0.000    0.000 __init__.py:1291(_fixupChildren)
        1    0.000    0.000    0.000    0.000 __init__.py:1321(Logger)
       44    0.000    0.000    0.008    0.000 __init__.py:1330(_flex_method_SERIES)
       15    0.000    0.000    0.000    0.000 __init__.py:1336(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        9    0.000    0.000    0.000    0.000 __init__.py:1356(debug)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.006    0.006 __init__.py:14(<module>)
       68    0.001    0.000    0.017    0.000 __init__.py:1463(_arith_method_FRAME)
        1    0.000    0.000    0.121    0.121 __init__.py:15(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
       12    0.000    0.000    0.004    0.000 __init__.py:1513(_flex_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:153(MergeError)
        1    0.000    0.000    0.038    0.038 __init__.py:155(_check_versions)
       12    0.000    0.000    0.000    0.000 __init__.py:1554(_comp_method_FRAME)
        1    0.000    0.000    0.000    0.000 __init__.py:16(UnsupportedFunctionCall)
        1    0.000    0.000    0.000    0.000 __init__.py:160(NullFrequencyError)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        2    0.000    0.000    0.000    0.000 __init__.py:1600(getEffectiveLevel)
        9    0.000    0.000    0.000    0.000 __init__.py:1614(isEnabledFor)
       22    0.000    0.000    0.000    0.000 __init__.py:1624(_arith_method_SPARSE_SERIES)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
        1    0.000    0.000    0.000    0.000 __init__.py:1665(RootLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1671(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:168(AccessorRegistrationWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:1682(LoggerAdapter)
        1    0.000    0.000    0.000    0.000 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:172(AbstractMethodError)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
       96    0.000    0.000    0.000    0.000 __init__.py:180(make_invalid_op)
       16    0.000    0.000    0.000    0.000 __init__.py:1830(_str_equal)
        6    0.000    0.000    0.001    0.000 __init__.py:1852(_define_aliases)
       16    0.000    0.000    0.000    0.000 __init__.py:187(_checkLevel)
       54    0.000    0.000    0.001    0.000 __init__.py:1873(make_alias)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        6    0.000    0.000    0.000    0.000 __init__.py:1893(get_aliased_and_aliases)
       34    0.000    0.000    0.000    0.000 __init__.py:1894(<genexpr>)
       14    0.000    0.000    0.001    0.000 __init__.py:1928(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:195(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        3    0.000    0.000    0.092    0.031 __init__.py:2(<module>)
       58    0.000    0.000    0.000    0.000 __init__.py:20(__new__)
       90    0.000    0.000    0.000    0.000 __init__.py:203(_gen_eval_kwargs)
        1    0.000    0.000    0.000    0.000 __init__.py:2057(NullHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:206(UTC)
        1    0.000    0.000    0.000    0.000 __init__.py:207(c_longlong)
       14    0.000    0.000    0.002    0.000 __init__.py:2089(_warn_external)
        1    0.000    0.000    0.000    0.000 __init__.py:21(__deprecated_private_func)
        1    0.000    0.000    0.000    0.000 __init__.py:211(c_ulonglong)
