Task_2.py :-
$ jupyter nbconvert --to script Task_2.ipynb
$ python -m cProfile Task_2.py
         590484 function calls (581087 primitive calls) in 7.588 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2091    0.001    0.000    0.105    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      449    0.005    0.000    0.282    0.001 <frozen importlib._bootstrap_external>:793(get_code)
      713    0.001    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      449    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      449    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      449    0.151    0.000    0.186    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      650    0.001    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      449    0.001    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       63    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        8    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 ElementPath.py:255(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:105(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1139(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:124(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1249(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1361(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1437(XMLParser)
        1    0.000    0.000    0.006    0.006 ElementTree.py:34(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:495(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:543(ElementTree)
        1    0.000    0.000    0.000    0.000 Image.py:2557(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2566(ImageTransformHandler)
        1    0.000    0.000    0.019    0.019 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:3258(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 Image.py:3294(Exif)
